,tweet_id,faves,retweets
1206,742161199639494656,4211,1327
1207,742385895052087300,6635,1907
1208,742423170473463808,9578,3637
1209,742465774154047488,7084,3802
1210,742528092657332225,4310,1906
1211,743210557239623680,3750,1328
1212,743222593470234624,6048,1856
1213,743253157753532416,4123,1189
1214,743510151680958465,7737,3626
1215,743545585370791937,3444,915
1216,743595368194129920,17881,6335
1217,743609206067040256,4367,1345
1218,743895849529389061,3575,938
1219,743980027717509120,4077,1064
1220,744234799360020481,152563,75497
1221,744334592493166593,6621,2049
1222,744709971296780288,5472,1516
1223,744971049620602880,7696,2613
1224,744995568523612160,2905,596
1225,745057283344719872,7085,2180
1226,745314880350101504,6993,2677
1227,745422732645535745,8381,2356
1228,745433870967832576,6916,2476
1229,745712589599014916,6845,2262
1230,745789745784041472,3928,1035
1231,746056683365994496,3493,790
1232,746131877086527488,6752,2127
1233,746369468511756288,6050,1590
1234,746507379341139972,4554,1057
1235,746726898085036033,5916,1746
1236,746790600704425984,4764,1557
1237,746818907684614144,5209,1696
1238,746872823977771008,5853,2075
1239,746906459439529985,2840,289
1240,747103485104099331,9337,3851
1241,747204161125646336,3294,888
1242,747219827526344708,5138,1523
1243,747461612269887489,3791,1018
1244,747512671126323200,5399,1572
1245,747594051852075008,3594,1026
1246,747600769478692864,2283,544
1247,747816857231626240,4743,1131
1248,747844099428986880,2758,727
1249,747885874273214464,2873,942
1250,747933425676525569,6475,2481
1251,747963614829678593,5658,2086
1252,748307329658011649,3608,694
1253,748324050481647620,3613,734
1254,748346686624440324,5111,1205
1255,748568946752774144,2162,654
1256,748575535303884801,5940,1934
1257,748692773788876800,4168,1299
1258,748699167502000129,4651,1546
1259,748705597323898880,2720,926
1260,748932637671223296,5679,2188
1261,748977405889503236,10554,3304
1262,749036806121881602,3031,770
1263,749064354620928000,4705,1494
1264,749317047558017024,5384,2184
1265,749395845976588288,8377,3350
1266,749403093750648834,2559,517
1267,749417653287129088,5971,1604
1268,749774190421639168,4583,1291
1269,749981277374128128,5008,2407
1270,749996283729883136,2997,800
1271,750011400160841729,3174,884
1272,750026558547456000,2664,767
1273,750041628174217216,3103,597
1274,750056684286914561,3100,878
1275,750071704093859840,7676,3237
1276,750086836815486976,2128,520
1277,750101899009982464,2981,823
1278,750117059602808832,4249,1278
1279,750132105863102464,3538,1261
1280,750147208377409536,3040,937
1281,750383411068534784,4472,1122
1282,750429297815552001,12916,4175
1283,750506206503038976,4362,1120
1284,750719632563142656,12916,4897
1285,750868782890057730,4679,1328
1286,751132876104687617,4965,1274
1287,751205363882532864,6196,1766
1288,751251247299190784,12282,5739
1289,751456908746354688,3156,978
1290,751538714308972544,4948,1230
1291,751583847268179968,4306,1071
1292,751598357617971201,7790,2973
1293,751830394383790080,5704,1899
1294,751937170840121344,5084,1289
1295,752173152931807232,5840,1790
1296,752309394570878976,0,15838
1297,752334515931054080,3749,1070
1298,752519690950500352,7236,3370
1299,752660715232722944,4299,1521
1300,752682090207055872,5896,1557
1301,752917284578922496,6811,1536
1302,753026973505581056,3852,938
1303,753294487569522689,3298,1016
1304,753375668877008896,7502,2273
1305,753398408988139520,5646,1862
1306,753420520834629632,7746,3470
1307,753655901052166144,5736,2128
1308,754120377874386944,7755,2304
1309,754449512966619136,3676,720
1310,754482103782404096,5195,1912
1311,754747087846248448,2541,509
1312,754856583969079297,6785,2460
1313,754874841593970688,0,7722
1314,755110668769038337,20817,10860
1315,755206590534418437,16154,5234
1316,755955933503782912,7174,2816
1317,756275833623502848,6292,1503
1318,756288534030475264,43258,17304
1319,756303284449767430,3865,1086
1320,756526248105566208,10229,3502
1321,756651752796094464,4957,1266
1322,756939218950160384,6524,1962
1323,756998049151549440,6172,1944
1324,757354760399941633,4443,1388
1325,757393109802180609,5711,1699
1326,757400162377592832,14870,6695
1327,757596066325864448,4258,1033
1328,757597904299253760,0,294
1329,757611664640446465,4484,1084
1330,757725642876129280,4467,1186
1331,757729163776290825,0,7730
1332,757741869644341248,6756,3184
1333,758041019896193024,2648,364
1334,758355060040593408,3331,1037
1335,758405701903519748,5123,1872
1336,758467244762497024,4716,2172
1337,758474966123810816,3734,982
1338,758740312047005698,5646,1584
1339,758828659922702336,11023,3770
1340,758854675097526272,3493,880
1341,759047813560868866,6382,1968
1342,759099523532779520,14269,4071
1343,759159934323924993,0,1133
1344,759197388317847553,5986,1910
1345,759447681597108224,8341,2411
1346,759557299618865152,4608,1167
1347,759793422261743616,5857,1868
1348,759846353224826880,6632,1928
1349,759923798737051648,14464,5529
1350,760190180481531904,5594,1758
1351,760252756032651264,3889,854
1352,760290219849637889,26377,11248
1353,760539183865880579,7439,3550
1354,760641137271070720,4901,1271
1355,760656994973933572,6480,1871
1356,760893934457552897,3753,951
1357,761004547850530816,11158,3413
1358,761227390836215808,5247,1532
1359,761292947749015552,4415,1066
1360,761334018830917632,5117,1425
1361,761371037149827077,0,17722
1362,761599872357261312,4066,1171
1363,761672994376806400,48708,28517
1364,761745352076779520,4212,847
1365,761750502866649088,0,3833
1366,761976711479193600,5320,1967
1367,762035686371364864,31358,15253
1368,762316489655476224,4728,1094
1369,762464539388485633,10152,4090
1370,762471784394268675,11051,6288
1371,762699858130116608,11949,3546
1372,763103485927849985,7268,2265
1373,763183847194451968,5298,1442
1374,763837565564780549,12381,4074
1375,764259802650378240,5928,1477
1376,764857477905154048,6360,1752
1377,765222098633691136,11466,3334
1378,765371061932261376,6973,2137
1379,765395769549590528,26283,3338
1380,765669560888528897,5121,1211
1381,765719909049503744,7126,2123
1382,766008592277377025,3695,488
1383,766069199026450432,4162,836
1384,766078092750233600,0,2569
1385,766313316352462849,6692,1857
1386,766423258543644672,5910,1548
1387,766693177336135680,3959,781
1388,766793450729734144,4980,1334
1389,767122157629476866,10058,2810
1390,767191397493538821,12141,3697
1391,767500508068192258,7404,2306
1392,767754930266464257,15804,5299
1393,767884188863397888,4683,1359
1394,768193404517830656,10717,3483
1395,768473857036525572,13438,3349
1396,768596291618299904,4974,1259
1397,768609597686943744,4063,1172
1398,768855141948723200,4124,871
1399,768970937022709760,14161,6396
1400,769212283578875904,5322,1683
1401,769695466921623552,6345,1655
1402,769940425801170949,30882,9385
1403,770069151037685760,7506,2263
1404,770093767776997377,0,2997
1405,770293558247038976,6149,1443
1406,770414278348247044,6253,2062
1407,770655142660169732,7245,1743
1408,770772759874076672,5117,1398
1409,770787852854652928,4869,1187
1410,771014301343748096,6793,1626
